feature,importance
feat_break_bi_amp_rate,0.1692008
feat_bsp_bi_amp,0.064795636
feat_break_bi_amp,0.060521737
feat_bsp3_bi_klu_cnt,0.059734024
feat_bsp3_zs_height,0.05097861
feat_bsp2_break_bi_amp,0.047874983
feat_bsp2_break_bi_amp_rate,0.04620386
klu_open,0.043496124
klu_high,0.04158904
klu_low,0.033279005
feat_bsp2s_break_bi_klu_cnt,0.026441349
feat_bsp2s_break_bi_amp,0.022035215
feat_bsp2_bi_amp,0.01964681
klu_close,0.019034134
feat_divergence_rate,0.01651223
kdj_d,0.013870593
feat_bsp2_break_bi_bi_klu_cnt,0.012616414
feat_bsp2s_break_bi_amp_rate,0.0123783145
feat_bsp1_bi_amp,0.011570597
feat_bsp2s_bi_amp_rate,0.011093691
feat_bsp1_bi_amp_rate,0.010386663
feat_macd_diff,0.009484023
feat_bi_klu_cnt,0.009247048
feat_rsi,0.009089204
feat_macd_dea,0.008968414
feat_bi_amp,0.008926254
klu_volume,0.008772456
feat_bi_amp_rate,0.008545806
feat_break_bi_klu_cnt,0.008278744
lower_shadow,0.0081357295
feat_kdj_d,0.007642712
kdj_j,0.0073457626
feat_bsp2s_bi_klu_cnt,0.0071010864
feat_volume,0.0065950574
feat_zs_cnt,0.006440223
dmi_minus,0.0063456353
dmi_adx,0.006077436
feat_bsp2_bi_klu_cnt,0.0056966925
macd_dea,0.005693075
feat_bsp1_bi_klu_cnt,0.0056833257
feat_macd_value,0.0056181303
feat_bsp2s_bi_amp,0.0050669336
feat_kdj_j,0.0048032166
high_low_spread_pct,0.004484887
feat_bsp2s_retrace_rate,0.004353302
macd_dif,0.004190447
body_size,0.00414886
feat_bsp2_retrace_rate,0.0038770998
dmi_plus,0.0037206726
macd_value,0.0035832557
rsi,0.003567315
feat_bsp2_bi_amp_rate,0.0031787083
upper_shadow,0.0029550008
feat_ppo,0.0027489713
feat_kdj_k,0.0025209943
price_change_pct,0.0023143361
kdj_k,0.0010654693
feat_bsp3_bi_amp,0.0004739159
feat_bsp3_bi_amp_rate,0.0
feat_bsp2s_lv,0.0
is_buy,0.0
is_bullish_candle,0.0
feat_level,0.0
is_segbsp,0.0
